Tag URL,line1,line2
https://www.rekhta.org/tags/aadmi-shayari/couplets,na jaane bahar bhi kitne aaseb muntazir hon,abhi main andar ke aadmi se Dara hua hun
https://www.rekhta.org/tags/aadmi-shayari/couplets,ḳhush-hāl ghar sharīf tabī.at sabhī kā dost,vo shaḳhs thā ziyāda magar aadmī thā kam
https://www.rekhta.org/tags/aadmi-shayari/couplets,KHush-haal ghar sharif tabiat sabhi ka dost,wo shaKHs tha ziyaada magar aadmi tha kam
https://www.rekhta.org/tags/aadmi-shayari/couplets,ajiib shaḳhs thā ḳhud apne dukh banātā thā,dil-o-dimāġh pe kuchh din asar rahā us kā
https://www.rekhta.org/tags/aadmi-shayari/couplets,ajib shaKHs tha KHud apne dukh banata tha,dil-o-dimagh pe kuchh din asar raha us ka
https://www.rekhta.org/tags/aadmi-shayari/couplets,aadmī kyā vo na samjhe jo suḳhan kī qadr ko,nutq ne haivāñ se musht-e-ḳhāk ko insāñ kiyā
https://www.rekhta.org/tags/aadmi-shayari/couplets,aadmi kya wo na samjhe jo suKHan ki qadr ko,nutq ne haiwan se musht-e-KHak ko insan kiya
https://www.rekhta.org/tags/aadmi-shayari/couplets,ḳhudā badal na sakā aadmī ko aaj bhī 'hosh',aur ab tak aadmī ne saikḌoñ ḳhudā badle
https://www.rekhta.org/tags/aadmi-shayari/couplets,KHuda badal na saka aadmi ko aaj bhi 'hosh',aur ab tak aadmi ne saikDon KHuda badle
https://www.rekhta.org/tags/aadmi-shayari/couplets,ruup rañg miltā hai ḳhadd-o-ḳhāl milte haiñ,aadmī nahīñ miltā aadmī ke paikar meñ
https://www.rekhta.org/tags/aadmi-shayari/couplets,rup rang milta hai KHadd-o-KHal milte hain,aadmi nahin milta aadmi ke paikar mein
https://www.rekhta.org/tags/aadmi-shayari/couplets,itnā be-āsrā nahīñ huuñ maiñ,aadmī huuñ ḳhudā nahīñ huuñ maiñ
https://www.rekhta.org/tags/aadmi-shayari/couplets,itna be-asra nahin hun main,aadmi hun KHuda nahin hun main
https://www.rekhta.org/tags/aadmi-shayari/couplets,miltā hai aadmī hī mujhe har maqām par,aur maiñ huuñ aadmī kī talab se bharā huā
https://www.rekhta.org/tags/aadmi-shayari/couplets,milta hai aadmi hi mujhe har maqam par,aur main hun aadmi ki talab se bhara hua
https://www.rekhta.org/tags/aadmi-shayari/couplets,TaTolo parakh lo chalo aazmā lo,ḳhudā kī qasam bā-ḳhudā aadmī huuñ
https://www.rekhta.org/tags/aadmi-shayari/couplets,TaTolo parakh lo chalo aazma lo,KHuda ki qasam ba-KHuda aadmi hun
https://www.rekhta.org/tags/aadmi-shayari/couplets,husn-e-iḳhlās hī nahīñ varna,aadmī aadmī to aaj bhī hai
https://www.rekhta.org/tags/aadmi-shayari/couplets,husn-e-iKHlas hi nahin warna,aadmi aadmi to aaj bhi hai
https://www.rekhta.org/tags/aadmi-shayari/couplets,abhī farq hai aadmī aadmī meñ,abhī duur hai aadmī aadmī se
https://www.rekhta.org/tags/aadmi-shayari/couplets,abhi farq hai aadmi aadmi mein,abhi dur hai aadmi aadmi se
https://www.rekhta.org/tags/aadmi-shayari/couplets,rū-e-zamīñ pe chaar arab mere aks haiñ,in meñ se maiñ bhī ek huuñ chāhe kahīñ huuñ maiñ
https://www.rekhta.org/tags/aadmi-shayari/couplets,ru-e-zamin pe chaar arab mere aks hain,in mein se main bhi ek hun chahe kahin hun main
https://www.rekhta.org/tags/aadmi-shayari/couplets,aadmī huuñ vasf-e-paiġhambar na maañg,mujh se mere dost merā sar na maañg
https://www.rekhta.org/tags/aadmi-shayari/couplets,aadmi hun wasf-e-paighambar na mang,mujh se mere dost mera sar na mang
https://www.rekhta.org/tags/aadmi-shayari/couplets,mirā ġhazāl ki vahshat thī jis ko saa.e se,lipaT gayā mire siine se aadmī kī tarah
https://www.rekhta.org/tags/aadmi-shayari/couplets,mera ghazal ki wahshat thi jis ko sae se,lipaT gaya mere sine se aadmi ki tarah
https://www.rekhta.org/tags/aadmi-shayari/couplets,ai ġhubār-e-ḳhvāhish-e-yak-umr apnī raah le,is galī meñ tujh se pahle ik jahāñ maujūd hai
https://www.rekhta.org/tags/aadmi-shayari/couplets,ai ghubar-e-KHwahish-e-yak-umr apni rah le,is gali mein tujh se pahle ek jahan maujud hai
https://www.rekhta.org/tags/aagahi-shayari/couplets,aaj ik aur baras biit gayā us ke baġhair,jis ke hote hue hote the zamāne mere
https://www.rekhta.org/tags/aagahi-shayari/couplets,apne man meñ Duub kar pā jā surāġh-e-zindagī,tū agar merā nahīñ bantā na ban apnā to ban
https://www.rekhta.org/tags/aagahi-shayari/couplets,apne man mein Dub kar pa ja suragh-e-zindagi,tu agar mera nahin banta na ban apna to ban
https://www.rekhta.org/tags/aagahi-shayari/couplets,āgahī karb vafā sabr tamannā ehsās,mere hī siine meñ utre haiñ ye ḳhanjar saare
